Date,Open,High,Low,Close,Volume
27-03-19,1228.4500000,1229.4300000,1207.2300000,1207.2300000,604505935
28-03-19,1208.8400000,1212.6400000,1203.3800000,1207.3100000,474939048
29-03-19,1210.1100000,1220.2200000,1194.9200000,1198.1100000,721742447
01-04-19,1200.8100000,1217.6800000,1200.0400000,1214.2900000,539107232
02-04-19,1219.4300000,1222.3400000,1211.0200000,1216.2000000,511197636
03-04-19,1220.9900000,1232.6400000,1220.9900000,1224.3500000,728214777
04-04-19,1222.0000000,1224.0000000,1214.7000000,1219.9400000,525352935
05-04-19,1220.5700000,1229.3100000,1219.8700000,1225.8400000,559905477
08-04-19,1225.7400000,1240.1600000,1225.7400000,1240.1600000,593469597
09-04-19,1244.3200000,1252.8800000,1242.9700000,1248.3800000,862195352
10-04-19,1248.1600000,1263.6100000,1245.1500000,1262.4800000,1001030187
11-04-19,1263.1600000,1266.0800000,1245.1700000,1245.1700000,822743806
12-04-19,1243.7400000,1260.4900000,1243.6000000,1253.4400000,711748111
15-04-19,1255.6500000,1260.4600000,1242.7700000,1246.9900000,463488025
16-04-19,1248.5600000,1258.5300000,1244.7300000,1255.4500000,727506944
17-04-19,1259.7500000,1269.8600000,1259.7500000,1265.5100000,616449620
18-04-19,1266.1600000,1266.4800000,1254.2800000,1262.2800000,463746966
19-04-19,1263.0500000,1265.6000000,1259.2800000,1260.8200000,136211620
22-04-19,1266.2200000,1276.9800000,1266.2200000,1275.5900000,329550981
23-04-19,1277.5300000,1284.9100000,1271.5800000,1277.7100000,591188101
24-04-19,1278.9500000,1279.0900000,1257.9400000,1263.9700000,539700730
25-04-19,1261.8200000,1263.2000000,1244.8000000,1245.9800000,752145316
26-04-19,1247.1800000,1248.2900000,1239.9700000,1247.0100000,696691403
29-04-19,1248.3000000,1255.5500000,1247.2100000,1254.9600000,461076387
30-04-19,1255.6300000,1255.6300000,1244.8600000,1248.3900000,654212300
02-05-19,1248.5200000,1249.4100000,1236.9400000,1238.0500000,405398227
03-05-19,1242.3800000,1250.7900000,1239.3800000,1248.3900000,458319884
06-05-19,1243.4400000,1245.5900000,1228.1500000,1245.5900000,401185206
07-05-19,1245.2300000,1247.9500000,1234.9300000,1237.8600000,554127655
08-05-19,1235.2000000,1239.8600000,1229.0100000,1233.0500000,487409950
10-05-19,1228.8200000,1229.6900000,1210.6700000,1213.7900000,501054374
13-05-19,1216.0000000,1221.5300000,1206.9600000,1207.5700000,526140494
14-05-19,1210.2700000,1243.9600000,1208.9700000,1241.5100000,1265188245
15-05-19,1247.2500000,1251.4100000,1239.0200000,1247.0200000,1027695304
16-05-19,1243.6900000,1266.6300000,1243.6300000,1261.3300000,958743088
17-05-19,1256.1000000,1259.3100000,1252.0200000,1254.6800000,659239156
20-05-19,1255.8300000,1263.7200000,1252.2900000,1256.2200000,531150061
21-05-19,1259.1400000,1281.1200000,1256.1000000,1279.1200000,876520342
22-05-19,1281.5800000,1296.8500000,1276.2000000,1292.7900000,705378305
23-05-19,1285.8900000,1287.1200000,1269.5000000,1275.4200000,771228773
24-05-19,1274.0800000,1290.8000000,1274.0800000,1279.1100000,772006628
27-05-19,1281.7900000,1288.1200000,1279.1200000,1288.1200000,366466555
28-05-19,1288.3900000,1289.6100000,1264.8600000,1271.1500000,1530601059
29-05-19,1267.2600000,1277.7700000,1262.1300000,1275.9200000,755615732
30-05-19,1283.6700000,1291.1100000,1280.6900000,1286.5200000,726921135
31-05-19,1278.2300000,1288.3100000,1268.2900000,1287.0900000,687080283
03-06-19,1278.7300000,1323.0600000,1273.6200000,1315.2200000,1504841125
04-06-19,1314.4000000,1321.3900000,1299.0600000,1307.5500000,1084272468
05-06-19,1309.9600000,1314.2900000,1300.1100000,1303.3500000,694807836
06-06-19,1301.7400000,1321.2300000,1301.0500000,1319.8500000,782381097
07-06-19,1326.7400000,1330.4100000,1320.4800000,1325.9500000,836510582
10-06-19,1329.0100000,1337.6300000,1326.9400000,1335.7100000,721148864
11-06-19,1322.7600000,1347.8300000,1322.4200000,1343.3300000,973394223
13-06-19,1339.9200000,1346.9800000,1332.7200000,1346.9800000,935530769
14-06-19,1344.5400000,1356.0600000,1341.0500000,1341.0500000,709576052
17-06-19,1339.7800000,1351.0400000,1336.3200000,1340.9000000,683150689
18-06-19,1337.8600000,1359.6300000,1334.5600000,1359.2300000,723155321
19-06-19,1365.0500000,1366.4900000,1353.8700000,1361.1400000,625041530
20-06-19,1362.5200000,1391.7200000,1362.5200000,1391.2100000,1135245784
21-06-19,1390.8600000,1390.8600000,1365.4800000,1375.0200000,985072956
24-06-19,1381.9700000,1389.5200000,1380.9200000,1387.0600000,489150468
25-06-19,1389.4100000,1392.9000000,1373.1500000,1380.8700000,554226243
26-06-19,1380.5500000,1388.9300000,1376.8900000,1386.6300000,617646827
27-06-19,1386.3800000,1396.1900000,1380.8800000,1388.0700000,602862302
28-06-19,1387.7700000,1393.6300000,1380.0600000,1380.5200000,663520552
01-07-19,1387.8700000,1409.7600000,1387.2300000,1401.6400000,880456400
02-07-19,1402.2600000,1405.4000000,1391.0800000,1398.2600000,589663782
03-07-19,1397.3800000,1402.4500000,1389.4700000,1401.5200000,717578668
04-07-19,1402.9100000,1411.5300000,1399.2200000,1411.5300000,741294145
05-07-19,1411.9500000,1412.9700000,1397.2900000,1398.7500000,694508226
08-07-19,1390.6500000,1399.5500000,1384.0500000,1399.5500000,640036655
09-07-19,1395.3100000,1399.1600000,1390.7000000,1394.8600000,556431661
10-07-19,1392.0000000,1409.4300000,1386.1500000,1407.6400000,736587419
11-07-19,1410.2400000,1413.8200000,1391.5500000,1398.8800000,709476458
12-07-19,1397.9800000,1398.5500000,1379.5000000,1387.8700000,610670225
15-07-19,1392.9200000,1396.6700000,1385.3000000,1386.5200000,624520425
16-07-19,1384.5300000,1385.1800000,1372.7600000,1382.0900000,661017302
17-07-19,1357.0900000,1367.0400000,1354.1100000,1361.5800000,650891990
18-07-19,1354.3000000,1359.4300000,1348.9500000,1349.7600000,485308132
19-07-19,1359.4400000,1365.8800000,1350.3300000,1350.6900000,510490947
22-07-19,1349.1200000,1353.4100000,1341.1700000,1341.1700000,553707459
23-07-19,1341.5400000,1351.0800000,1338.9400000,1345.4800000,541204580
24-07-19,1350.0100000,1351.3100000,1336.9400000,1339.6200000,538480894
25-07-19,1332.1100000,1362.3000000,1326.4800000,1346.9100000,1096749334
26-07-19,1343.7100000,1361.9400000,1342.5300000,1348.3000000,1167348390
29-07-19,1350.1100000,1355.5800000,1346.2600000,1353.6100000,542691655
30-07-19,1355.9100000,1358.0900000,1349.0000000,1352.8900000,615881288
31-07-19,1358.0700000,1364.8400000,1352.6800000,1360.0400000,728614798
01-08-19,1350.4600000,1352.7200000,1339.5400000,1346.4000000,639846749
02-08-19,1325.4800000,1325.4800000,1290.1200000,1293.1900000,1036156974
05-08-19,1287.1100000,1295.0100000,1279.2900000,1282.2900000,806522612
06-08-19,1276.2200000,1300.7700000,1276.1000000,1294.5000000,730845409
07-08-19,1294.9400000,1306.5300000,1280.4200000,1284.9100000,751109249
08-08-19,1299.6200000,1308.8000000,1299.6200000,1303.8000000,611330553
09-08-19,1306.0500000,1307.7300000,1289.0800000,1289.4700000,500798496
12-08-19,1296.6900000,1302.0400000,1287.4700000,1294.1200000,436152457
13-08-19,1294.9500000,1306.4600000,1277.6800000,1297.8500000,700324807
14-08-19,1302.8800000,1304.4700000,1255.7900000,1259.6800000,712805214
15-08-19,1260.7600000,1268.7300000,1241.1200000,1250.1300000,739811732
16-08-19,1257.3000000,1261.0900000,1239.8100000,1239.8100000,563652836
19-08-19,1244.4000000,1253.3400000,1233.1900000,1247.5300000,622870495
20-08-19,1248.3900000,1265.2200000,1245.8500000,1264.5900000,630128531
21-08-19,1267.5400000,1281.8000000,1262.7400000,1280.1900000,543733668
22-08-19,1280.8700000,1288.2800000,1276.1700000,1282.6300000,579230608
23-08-19,1286.4500000,1288.4900000,1267.6200000,1268.4500000,597722206
26-08-19,1264.6800000,1276.2400000,1260.4500000,1268.2500000,383130121
27-08-19,1268.8600000,1269.9800000,1248.3200000,1258.6000000,1030263583
28-08-19,1260.4500000,1267.4100000,1250.8700000,1266.7100000,656777034
29-08-19,1264.1800000,1284.9400000,1261.9700000,1284.9400000,708742496
